Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,0.945808,0.958589,0.945808,0.958589,0.349130,165282
1977-01-04,0.958589,0.971370,0.907464,0.958589,0.349130,179952
1977-01-05,0.958589,0.984151,0.958589,0.984151,0.358440,189732
1977-01-06,0.984151,1.035276,0.984151,1.035276,0.377061,384354
1977-01-07,1.035276,1.048057,1.022495,1.048057,0.381715,345234
1977-01-10,1.048057,1.060838,1.035276,1.048057,0.381715,311004
1977-01-11,1.048057,1.048057,1.022495,1.022495,0.372406,155502
1977-01-12,1.009714,1.009714,0.984151,0.996933,0.363095,198534
1977-01-13,0.996933,0.996933,0.971370,0.984151,0.358440,155502
1977-01-14,0.984151,0.996933,0.984151,0.984151,0.358440,116382
1977-01-17,0.996933,1.035276,0.996933,1.009714,0.367751,222006
1977-01-18,1.022495,1.035276,1.022495,1.035276,0.377061,112470
1977-01-19,1.035276,1.048057,1.022495,1.022495,0.372406,149634
1977-01-20,1.022495,1.035276,1.009714,1.009714,0.367751,179952
1977-01-21,1.009714,1.022495,0.996933,0.996933,0.363095,185820
1977-01-24,1.035276,1.086401,1.035276,1.086401,0.395681,850860
1977-01-25,1.086401,1.124744,1.073620,1.086401,0.395681,502692
1977-01-26,1.086401,1.086401,1.060838,1.073620,0.391026,263082
1977-01-27,1.073620,1.086401,1.048057,1.073620,0.391026,258192
1977-01-28,1.073620,1.086401,1.048057,1.073620,0.391026,122250
1977-01-31,1.060838,1.060838,1.035276,1.048057,0.381715,114426
1977-02-01,1.048057,1.048057,1.035276,1.048057,0.381715,81174
1977-02-02,1.035276,1.035276,1.009714,1.009714,0.367751,112470
1977-02-03,1.009714,1.022495,0.984151,1.022495,0.372406,153546
1977-02-04,1.022495,1.035276,1.022495,1.022495,0.372406,121272
1977-02-07,1.035276,1.060838,1.035276,1.035276,0.377061,82152
1977-02-08,1.035276,1.035276,1.022495,1.022495,0.372406,115404
1977-02-09,1.022495,1.048057,1.022495,1.022495,0.372406,283620
1977-02-10,1.022495,1.022495,0.996933,1.009714,0.367751,74328
1977-02-11,1.009714,1.009714,0.971370,0.971370,0.353785,152568
1977-02-14,0.958589,0.958589,0.945808,0.945808,0.344475,143766
1977-02-15,0.958589,0.984151,0.958589,0.984151,0.358440,175062
1977-02-16,0.984151,0.996933,0.971370,0.984151,0.358440,225918
1977-02-17,0.984151,1.035276,0.984151,1.022495,0.372406,1001472
1977-02-18,1.022495,1.060838,1.022495,1.035276,0.377061,472374
1977-02-22,1.048057,1.060838,1.048057,1.048057,0.381715,275796
1977-02-23,1.048057,1.060838,1.035276,1.035276,0.377061,81174
1977-02-24,1.035276,1.035276,1.022495,1.022495,0.372406,228852
1977-02-25,1.022495,1.022495,1.009714,1.009714,0.367751,355014
1977-02-28,1.009714,1.022495,1.009714,1.022495,0.372406,86064
1977-03-01,1.022495,1.060838,1.022495,1.048057,0.381715,293400
1977-03-02,1.048057,1.048057,1.022495,1.022495,0.372406,243522
1977-03-03,1.022495,1.022495,1.009714,1.009714,0.367751,52812
1977-03-04,1.009714,1.022495,1.009714,1.022495,0.372406,45966
1977-03-07,1.009714,1.009714,0.984151,0.984151,0.358440,65526
1977-03-08,0.984151,0.996933,0.984151,0.984151,0.358440,59658
1977-03-09,0.984151,0.996933,0.984151,0.984151,0.358440,68460
1977-03-10,0.984151,1.022495,0.984151,1.009714,0.367751,203424
1977-03-11,1.009714,1.022495,1.009714,1.009714,0.367751,158436
1977-03-14,1.022495,1.060838,1.022495,1.048057,0.381715,328608
1977-03-15,1.048057,1.048057,1.035276,1.035276,0.377061,112470
1977-03-16,1.035276,1.035276,1.022495,1.035276,0.377061,149634
1977-03-17,1.035276,1.035276,1.022495,1.022495,0.372406,59658
