Date,Open,High,Low,Close,Adj Close,Volume
2021-04-21,65.500000,70.739998,64.839996,69.000000,69.000000,23791600
2021-04-22,73.199997,80.000000,71.029999,75.500000,75.500000,13263800
2021-04-23,76.580002,77.401001,72.570000,74.839996,74.839996,3098300
2021-04-26,76.150002,82.440002,75.699997,80.809998,80.809998,3557300
2021-04-27,82.400002,83.400002,75.099998,75.370003,75.370003,2721900
2021-04-28,76.580002,77.889999,75.410004,75.410004,75.410004,812000
2021-04-29,76.370003,76.980003,70.110001,75.290001,75.290001,1901500
2021-04-30,73.379997,74.500000,71.660004,72.000000,72.000000,1230000
2021-05-03,72.330002,73.000000,67.750000,70.930000,70.930000,2526200
2021-05-04,70.320000,76.580002,69.250000,73.980003,73.980003,2600000
2021-05-05,74.440002,75.839996,70.120003,70.870003,70.870003,1159200
2021-05-06,70.070000,70.485001,65.559998,69.290001,69.290001,2125300
2021-05-07,69.290001,71.940002,68.309998,69.019997,69.019997,1797500
2021-05-10,68.599998,68.900002,62.009998,65.400002,65.400002,3231000
2021-05-11,62.279999,77.250000,61.500000,74.809998,74.809998,5735800
2021-05-12,71.610001,74.559998,70.250000,71.760002,71.760002,3071100
2021-05-13,71.760002,72.589996,64.269997,66.419998,66.419998,4605800
2021-05-14,68.510002,71.230003,67.480003,70.480003,70.480003,1543300
2021-05-17,67.989998,70.769997,65.199997,68.000000,68.000000,1543700
2021-05-18,68.400002,74.650002,67.820000,73.260002,73.260002,2029700
2021-05-19,71.000000,75.059998,70.989998,72.459999,72.459999,1380900
2021-05-20,74.000000,78.860001,74.000000,75.400002,75.400002,1282900
2021-05-21,77.070000,83.989998,76.839996,78.750000,78.750000,2107300
2021-05-24,80.400002,88.620003,79.910004,85.120003,85.120003,2852900
2021-05-25,85.500000,87.809998,80.220001,84.000000,84.000000,1789800
2021-05-26,84.190002,86.000000,82.669998,85.000000,85.000000,1173600
2021-05-27,85.489998,88.419998,82.209999,83.540001,83.540001,1829000
2021-05-28,84.989998,90.000000,78.559998,79.820000,79.820000,2344800
2021-06-01,80.730003,83.109001,77.540001,80.809998,80.809998,1019900
2021-06-02,80.019997,82.300003,77.760002,81.000000,81.000000,881800
2021-06-03,79.800003,79.989998,73.519997,73.519997,73.519997,1571900
2021-06-04,75.000000,79.260002,73.800003,75.750000,75.750000,1828900
2021-06-07,76.750000,77.010002,70.629997,73.879997,73.879997,2469800
2021-06-08,75.199997,77.360001,72.900002,76.000000,76.000000,3033800
2021-06-09,69.889999,74.940002,68.629997,68.709999,68.709999,7334700
2021-06-10,67.750000,74.099998,67.000000,74.029999,74.029999,11847100
2021-06-11,73.389999,73.500000,70.519997,71.500000,71.500000,3487900
2021-06-14,71.980003,72.029999,68.910004,69.800003,69.800003,3666500
2021-06-15,69.510002,72.400002,69.370003,70.000000,70.000000,4126400
2021-06-16,69.000000,70.000000,67.800003,69.769997,69.769997,4769900
2021-06-17,68.500000,70.919998,68.099998,70.000000,70.000000,3835000
2021-06-18,69.699997,70.400002,69.080002,69.750000,69.750000,3175400
2021-06-21,69.510002,69.629997,67.400002,69.320000,69.320000,1746100
2021-06-22,69.000000,70.190002,69.000000,69.849998,69.849998,3710600
2021-06-23,68.699997,69.889999,67.250000,69.250000,69.250000,3643300
2021-06-24,69.500000,69.849998,68.070000,69.050003,69.050003,2191500
2021-06-25,69.050003,69.769997,68.160004,69.769997,69.769997,2773100
2021-06-28,69.779999,72.900002,69.379997,71.279999,71.279999,7147200
2021-06-29,70.510002,70.510002,66.000000,68.900002,68.900002,7943400
2021-06-30,69.019997,69.078003,67.680000,67.930000,67.930000,3116500
2021-07-01,67.989998,68.400002,66.181000,67.379997,67.379997,3224300
2021-07-02,67.379997,68.129997,66.550003,66.550003,66.550003,1510600
2021-07-06,66.650002,66.790001,63.860001,64.750000,64.750000,3322900
2021-07-07,65.410004,67.550003,64.879997,66.610001,66.610001,2532300
2021-07-08,64.000000,68.500000,63.650002,68.379997,68.379997,3806900
2021-07-09,68.410004,69.599998,67.089996,68.489998,68.489998,2374400
2021-07-12,66.209999,67.089996,64.108002,66.400002,66.400002,3537000
2021-07-13,66.199997,66.500000,64.360001,64.360001,64.360001,2353900
2021-07-14,64.790001,65.139999,61.820000,61.990002,61.990002,3545100
2021-07-15,62.150002,62.860001,58.230000,59.580002,59.580002,4543900
2021-07-16,60.000000,60.660000,58.889999,59.360001,59.360001,2507100
2021-07-19,58.000000,60.480000,57.009998,60.169998,60.169998,2224400
2021-07-20,60.799999,62.689999,59.549999,62.279999,62.279999,1841400
2021-07-21,62.349998,62.980000,61.400002,62.799999,62.799999,2346100
2021-07-22,63.000000,63.580002,61.250000,62.250000,62.250000,1533400
2021-07-23,63.240002,63.775002,61.630001,63.689999,63.689999,1501600
2021-07-26,62.980000,63.570000,60.759998,62.389999,62.389999,2029200
2021-07-27,62.099998,62.680000,58.459999,59.830002,59.830002,3171800
2021-07-28,60.009998,63.209999,59.799999,63.060001,63.060001,2294400
2021-07-29,62.720001,63.790001,62.200001,63.049999,63.049999,2196500
2021-07-30,62.700001,64.370003,61.900002,62.560001,62.560001,1860300
2021-08-02,61.980000,62.000000,59.169998,59.669998,59.669998,3850000
2021-08-03,60.000000,60.705002,59.209999,60.549999,60.549999,1517100
2021-08-04,60.369999,62.000000,60.250000,62.000000,62.000000,2707400
2021-08-05,63.930000,65.389999,63.380001,64.589996,64.589996,3855000
2021-08-06,64.050003,64.500000,62.439999,63.060001,63.060001,1726500
2021-08-09,63.000000,64.690002,62.213001,64.500000,64.500000,1427300
2021-08-10,65.000000,65.459999,63.860001,64.830002,64.830002,1706000
2021-08-11,65.290001,66.070000,63.389999,64.510002,64.510002,1775000
2021-08-12,63.349998,63.650002,62.040001,62.150002,62.150002,2073800
2021-08-13,62.779999,62.950001,61.400002,62.000000,62.000000,1314300
2021-08-16,61.200001,61.380001,58.744999,60.029999,60.029999,2434500
2021-08-17,59.049999,60.380001,58.529999,59.919998,59.919998,1952300
2021-08-18,60.000000,61.250000,59.150002,60.549999,60.549999,1806000
2021-08-19,59.340000,61.619999,58.900002,60.369999,60.369999,1660900
2021-08-20,60.279999,62.000000,60.230000,60.759998,60.759998,1825900
2021-08-23,60.820000,61.750000,60.000000,60.189999,60.189999,1762400
2021-08-24,60.509998,62.060001,60.299999,62.060001,62.060001,3161100
2021-08-25,62.590000,65.589996,61.599998,64.919998,64.919998,3607700
2021-08-26,64.000000,64.790001,63.220001,63.849998,63.849998,2326300
2021-08-27,63.669998,65.089996,62.110001,64.970001,64.970001,2366700
2021-08-30,65.599998,65.599998,62.939999,64.550003,64.550003,1470300
2021-08-31,64.550003,64.550003,62.520000,63.200001,63.200001,1846100
2021-09-01,63.500000,64.199997,61.849998,62.040001,62.040001,2611700
2021-09-02,62.130001,62.400002,60.810001,61.549999,61.549999,2222500
2021-09-03,61.750000,64.050003,61.259998,63.369999,63.369999,3208200
2021-09-07,64.440002,65.000000,62.200001,62.459999,62.459999,9054300
2021-09-08,56.580002,58.450001,55.279999,56.450001,56.450001,18849700
2021-09-09,56.220001,56.750000,53.570000,54.400002,54.400002,21729500
2021-09-10,54.869999,55.500000,53.865002,55.340000,55.340000,13886800
2021-09-13,54.410000,56.029999,53.520000,55.540001,55.540001,8310200
2021-09-14,55.051998,56.525002,55.009998,55.889999,55.889999,6547200
2021-09-15,55.700001,56.020000,52.689999,53.560001,53.560001,14800500
2021-09-16,53.380001,54.290001,53.110001,53.900002,53.900002,9302700
2021-09-17,54.849998,55.340000,53.915001,54.279999,54.279999,26286600
2021-09-20,53.000000,53.740002,51.040001,51.889999,51.889999,11492800
2021-09-21,52.009998,54.200001,51.009998,53.360001,53.360001,14530000
2021-09-22,52.110001,53.830002,51.250000,53.000000,53.000000,7751100
2021-09-23,53.599998,53.910000,52.759998,53.799999,53.799999,5329500
2021-09-24,53.500000,53.740002,52.340000,52.700001,52.700001,4963600
2021-09-27,52.080002,54.639999,51.270000,54.459999,54.459999,4901600
2021-09-28,53.009998,53.340000,51.424999,52.349998,52.349998,7782000
2021-09-29,52.799999,53.689999,51.709999,52.000000,52.000000,6215900
2021-09-30,52.080002,52.950001,51.755001,52.610001,52.610001,3693100
2021-10-01,52.750000,52.930000,50.959999,52.160000,52.160000,2654600
2021-10-04,51.490002,51.610001,49.230000,51.349998,51.349998,4200000
2021-10-05,51.200001,53.400002,50.889999,51.320000,51.320000,5742500
2021-10-06,49.500000,51.660000,49.400002,51.320000,51.320000,5747000
2021-10-07,51.560001,52.500000,50.759998,52.320000,52.320000,3927500
2021-10-08,52.669998,53.009998,51.320000,51.380001,51.380001,3580000
