Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,26.000000,26.980000,18.900000,20.100000,20.100000,2246700
2021-07-02,19.500000,20.990000,16.927999,20.280001,20.280001,414600
2021-07-06,19.309999,20.590000,18.010000,20.200001,20.200001,151600
2021-07-07,20.040001,20.068001,18.360001,18.750000,18.750000,169200
2021-07-08,18.549999,18.620001,17.030001,17.780001,17.780001,120800
2021-07-09,17.780001,19.570000,17.780001,18.900000,18.900000,46100
2021-07-12,19.059999,19.480000,17.900000,18.500000,18.500000,245700
2021-07-13,18.360001,19.000000,18.090000,18.940001,18.940001,81200
2021-07-14,18.600000,19.100000,18.000999,18.340000,18.340000,120300
2021-07-15,18.350000,18.920000,17.209999,17.299999,17.299999,98800
2021-07-16,17.170000,18.240000,16.490000,17.860001,17.860001,151300
2021-07-19,17.760000,20.290001,17.274000,19.110001,19.110001,82800
2021-07-20,19.110001,19.590000,18.309999,18.510000,18.510000,114300
2021-07-21,18.309999,19.094999,17.150000,17.170000,17.170000,109900
2021-07-22,17.510000,17.584999,16.770000,17.129999,17.129999,62200
2021-07-23,16.870001,17.309000,16.480000,17.080000,17.080000,95500
2021-07-26,17.170000,19.680000,16.559999,16.570000,16.570000,135000
2021-07-27,16.930000,17.520000,14.410000,14.500000,14.500000,314400
2021-07-28,14.610000,15.760000,13.950000,14.900000,14.900000,291500
2021-07-29,14.770000,16.125000,14.340000,15.320000,15.320000,144500
2021-07-30,14.870000,15.675000,14.850000,15.480000,15.480000,149400
2021-08-02,15.410000,16.240000,14.500000,15.270000,15.270000,1018300
2021-08-03,15.350000,15.850000,14.700000,14.950000,14.950000,274800
2021-08-04,15.080000,16.010000,14.610000,14.650000,14.650000,81500
2021-08-05,14.850000,15.360000,14.750000,14.990000,14.990000,88300
2021-08-06,14.890000,15.183000,14.800000,15.010000,15.010000,76900
2021-08-09,15.110000,15.200000,14.800000,15.040000,15.040000,70000
2021-08-10,15.010000,15.108000,14.700000,14.750000,14.750000,90000
2021-08-11,15.130000,15.150000,14.660000,14.820000,14.820000,58700
2021-08-12,14.790000,15.090000,14.790000,14.900000,14.900000,64400
2021-08-13,15.100000,15.450000,14.900000,15.170000,15.170000,87000
2021-08-16,15.300000,15.385000,14.950000,15.290000,15.290000,62300
2021-08-17,15.030000,15.710000,15.000000,15.410000,15.410000,90900
2021-08-18,15.340000,16.320000,15.260000,16.040001,16.040001,201400
2021-08-19,15.650000,16.790001,15.650000,16.690001,16.690001,113500
2021-08-20,16.830000,17.475000,16.740000,17.280001,17.280001,164400
2021-08-23,17.590000,17.780001,17.030001,17.580000,17.580000,113400
2021-08-24,17.719999,17.948000,16.840000,17.059999,17.059999,94800
2021-08-25,17.160000,17.763000,16.840000,17.209999,17.209999,137400
2021-08-26,17.070000,18.190001,16.440001,17.450001,17.450001,267800
2021-08-27,17.480000,19.270000,17.212000,18.680000,18.680000,172700
2021-08-30,18.910000,19.459999,18.530001,18.850000,18.850000,101800
2021-08-31,18.959999,19.129999,17.500000,17.920000,17.920000,80500
2021-09-01,18.000000,18.030001,16.790001,17.290001,17.290001,97400
2021-09-02,17.360001,17.450001,14.910000,15.270000,15.270000,312800
2021-09-03,15.300000,15.900000,15.045000,15.590000,15.590000,152700
2021-09-07,15.830000,19.000000,15.830000,18.309999,18.309999,583600
2021-09-08,18.520000,18.950001,17.950001,18.320000,18.320000,327800
2021-09-09,18.350000,18.680000,17.260000,17.700001,17.700001,164000
2021-09-10,17.750000,18.698999,17.000000,17.000000,17.000000,128700
2021-09-13,16.889999,17.670000,15.610000,16.030001,16.030001,184300
2021-09-14,15.810000,16.620001,15.360000,15.950000,15.950000,335000
2021-09-15,15.770000,16.219999,14.900000,15.330000,15.330000,491500
2021-09-16,15.310000,16.430000,15.110000,16.180000,16.180000,405200
2021-09-17,16.180000,17.709999,15.855000,16.230000,16.230000,1542900
2021-09-20,16.100000,16.420000,14.520000,14.760000,14.760000,459500
2021-09-21,14.730000,15.580000,14.610000,15.040000,15.040000,404000
2021-09-22,15.010000,15.880000,15.010000,15.530000,15.530000,105700
2021-09-23,15.680000,16.500000,14.890000,16.120001,16.120001,244800
2021-09-24,15.960000,16.500000,15.290000,16.139999,16.139999,227600
2021-09-27,15.940000,16.290001,15.470000,15.920000,15.920000,179600
2021-09-28,15.660000,16.004999,14.600000,14.700000,14.700000,210400
2021-09-29,14.720000,15.445000,14.560000,14.850000,14.850000,46900
2021-09-30,14.890000,15.105000,14.660000,14.860000,14.860000,57500
2021-10-01,14.800000,15.420000,14.120000,15.270000,15.270000,91000
2021-10-04,15.370000,15.500000,14.760000,15.150000,15.150000,90600
2021-10-05,15.170000,15.640000,14.730000,15.310000,15.310000,128000
